FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
111, NORTHERN PERU,33,a,2,0,15,SZInter,70,SZInter,999,SZIntra,-
112, PERU-BRAZIL BORDER REGION,221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
113, WESTERN BRAZIL,12,-,0,0,50,SCR,999,SZIntra,-,-,-
114, OFF COAST OF PERU,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
115, NEAR COAST OF PERU,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
116, CENTRAL PERU,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
117, SOUTHERN PERU,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
118, PERU-BOLIVIA BORDER REGION,221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
119, NORTHERN BOLIVIA,12,-,0,0,50,SCR,999,SZIntra,-,-,-
120, CENTRAL BOLIVIA,221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
121, OFF COAST OF NORTHERN CHILE,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
122, NEAR COAST OF NORTHERN CHILE,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
123, NORTHERN CHILE,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
124, CHILE-BOLIVIA BORDER REGION,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
125, SOUTHERN BOLIVIA,221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
126, PARAGUAY,12,-,0,0,50,SCR,999,SZIntra,-,-,-
127, CHILE-ARGENTINA BORDER REGION,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
128," JUJUY PROVINCE, ARGENTINA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
129," SALTA PROVINCE, ARGENTINA",221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
130," CATAMARCA PROVINCE, ARGENTINA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
131," TUCUMAN PROVINCE, ARGENTINA",221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
132," SANTIAGO DEL ESTERO PROV., ARG.",220,-,2,0,35,ACRsh,999,SZIntra,-,-,-
133, NORTHEASTERN ARGENTINA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
134, OFF COAST OF CENTRAL CHILE,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
135, NEAR COAST OF CENTRAL CHILE,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
136, CENTRAL CHILE,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
137," SAN JUAN PROVINCE, ARGENTINA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
138," LA RIOJA PROVINCE, ARGENTINA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
139," MENDOZA PROVINCE, ARGENTINA",221,-,2,0,35,ACRsh,85,ACRde,999,SZIntra,-
140," SAN LUIS PROVINCE, ARGENTINA",220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
141," CORDOBA PROVINCE, ARGENTINA",220,-,2,0,35,ACRsh,999,SZIntra,-,-,-
142, URUGUAY,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
143, OFF COAST OF SOUTHERN CHILE,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
144, SOUTHERN CHILE,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
145, S. CHILE-ARGENTINA BORDER REGION,34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
146, SOUTHERN ARGENTINA,220,-,2,0,35,ACRsh,999,SZIntra,-,-,-
147, TIERRA DEL FUEGO,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
148, FALKLAND ISLANDS REGION,23,-,1,0,55,OBR,-,WARNING,-,-,OBR
149, DRAKE PASSAGE,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
150, SCOTIA SEA,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
151, SOUTH GEORGIA ISLAND REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
152, SOUTH GEORGIA RISE,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
153, SOUTH SANDWICH ISLANDS REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
154, SOUTH SHETLAND ISLANDS,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
155, ANTARCTIC PENINSULA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
156, SOUTHWESTERN ATLANTIC OCEAN,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
157, WEDDELL SEA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
732, EAST OF SOUTH SANDWICH ISLANDS,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
158," OFF W. COAST OF N. ISLAND, N.Z.",220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
159," NORTH ISLAND, NEW ZEALAND",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
160," OFF E. COAST OF N. ISLAND, N.Z.",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
161," OFF W. COAST OF S. ISLAND, N.Z.",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
162," SOUTH ISLAND, NEW ZEALAND",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
163," COOK STRAIT, NEW ZEALAND",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
164," OFF E. COAST OF S. ISLAND, N.Z.",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
165, NORTH OF MACQUARIE ISLAND,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
166," AUCKLAND ISLANDS, N.Z. REGION",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
